# Temporary Quest Assignments Save File
# Format: MOB_VNUM ROOM_VNUM NUM_QUESTS QUEST_VNUM1 QUEST_VNUM2 ...
8145 8124 1 17864
803 7022 1 16334
19821 12028 1 29454
17320 17333 1 26804
12120 12128 1 21844
3722 3748 2 13503 12734
3722 3765 1 12700
17037 17033 1 26634
17024 17002 1 26564
17024 17031 1 26964
17023 17001 1 26214
17022 17005 1 26304
17021 17005 2 26223 26554
17021 17013 1 26174
17020 17006 1 26104
17014 17064 1 26002
17014 17035 1 26734
17033 17018 1 26624
17006 17030 1 26704
17005 17059 1 26494
19809 12028 1 28874
19706 19729 1 29644
19701 19711 1 29424
18607 18636 1 27844
17357 17395 1 26954
17037 17023 2 26204 26534
17024 17015 1 26844
17020 4014 1 26754
17015 17024 1 26003
17014 17006 1 26000
17033 17001 1 26234
17007 17047 1 26484
17007 17032 1 26153
17006 17033 1 26014
17006 17064 1 26324
12698 12755 4 21734 22104 22164 22174
12670 12706 2 22384 21634
12118 12139 1 21454
12116 12135 1 21954
11635 11691 4 20704 20714 20724 20914
5312 5320 1 15274
5208 5246 1 14924
5200 5250 1 14844
4244 4241 1 14014
4100 4114 1 13094
3724 3756 1 13644
799 10847 1 10324
203 238 2 9304 10034
